step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,-0.12335453632994096,0.25869130279841485
55,75,-0.24702613230357712,0.39597212653294755
55,90,-0.2614818687226098,0.5790261244349176
56,50,-0.12489954818163997,0.25602683879480914
56,75,-0.2461442051101539,0.39203803211345734
56,90,-0.26084018792506936,0.5731042949970249
57,50,-0.12644456003333898,0.25336237479120344
57,75,-0.2452622779167307,0.3881039376939671
57,90,-0.2601985071275289,0.5671824655591321
58,50,-0.12798957188503798,0.25069791078759773
58,75,-0.2443803507233075,0.3841698432744769
58,90,-0.25955682632998844,0.5612606361212393
59,50,-0.12953458373673699,0.24803344678399203
59,75,-0.24349842352988427,0.3802357488549867
59,90,-0.258915145532448,0.5553388066833465
60,50,-0.131079595588436,0.24536898278038632
60,75,-0.24261649633646107,0.37630165443549646
60,90,-0.25827346473490753,0.5494169772454537
61,50,-0.132624607440135,0.2427045187767806
61,75,-0.24173456914303787,0.3723675600160063
61,90,-0.2576317839373671,0.5434951478075609
62,50,-0.134169619291834,0.2400400547731749
62,75,-0.24085264194961464,0.3684334655965161
62,90,-0.2569901031398266,0.5375733183696682
63,50,-0.135714631143533,0.23737559076956918
63,75,-0.23997071475619144,0.36449937117702585
63,90,-0.25634842234228616,0.5316514889317753
64,50,-0.137259642995232,0.23471112676596348
64,75,-0.23908878756276825,0.36056527675753564
64,90,-0.2557067415447457,0.5257296594938825
65,50,-0.138804654846931,0.23204666276235777
65,75,-0.23820686036934502,0.3566311823380454
65,90,-0.25506506074720525,0.5198078300559897
66,50,-0.14034966669863003,0.22938219875875207
66,75,-0.23732493317592182,0.3526970879185552
66,90,-0.2544233799496648,0.513886000618097
67,50,-0.14189467855032903,0.22671773475514637
67,75,-0.23644300598249862,0.34876299349906503
67,90,-0.25378169915212434,0.5079641711802042
68,50,-0.14343969040202803,0.22405327075154066
68,75,-0.23556107878907542,0.3448288990795748
68,90,-0.2531400183545839,0.5020423417423113
69,50,-0.14498470225372703,0.22138880674793496
69,75,-0.2346791515956522,0.3408948046600846
69,90,-0.25249833755704343,0.49612051230441856
70,50,-0.14652971410542603,0.21872434274432925
70,75,-0.233797224402229,0.3369607102405944
70,90,-0.251856656759503,0.4901986828665258
71,50,-0.14807472595712504,0.21605987874072355
71,75,-0.2329152972088058,0.33302661582110415
71,90,-0.2512149759619625,0.484276853428633
72,50,-0.14961973780882404,0.21339541473711784
72,75,-0.23203337001538257,0.32909252140161394
72,90,-0.25057329516442206,0.4783550239907402
73,50,-0.15116474966052304,0.21073095073351214
73,75,-0.23115144282195937,0.3251584269821237
73,90,-0.2499316143668816,0.47243319455284744
74,50,-0.15270976151222204,0.20806648672990644
74,75,-0.23026951562853618,0.32122433256263355
74,90,-0.24928993356934115,0.4665113651149546
75,50,-0.15425477336392107,0.20540202272630073
75,75,-0.22938758843511298,0.31729023814314333
75,90,-0.2486482527718007,0.46058953567706185
76,50,-0.15579978521562007,0.20273755872269503
76,75,-0.22850566124168975,0.3133561437236531
76,90,-0.24800657197426024,0.4546677062391691
77,50,-0.15734479706731908,0.20007309471908932
77,75,-0.22762373404826655,0.3094220493041629
77,90,-0.24736489117671978,0.44874587680127626
78,50,-0.15888980891901808,0.19740863071548362
78,75,-0.22674180685484335,0.3054879548846727
78,90,-0.24672321037917933,0.4428240473633835
79,50,-0.16043482077071708,0.19474416671187791
79,75,-0.22585987966142013,0.30155386046518246
79,90,-0.24608152958163887,0.43690221792549067
80,50,-0.16197983262241608,0.19207970270827218
80,75,-0.22497795246799693,0.2976197660456923
80,90,-0.2454398487840984,0.4309803884875979
81,50,-0.16352484447411508,0.18941523870466648
81,75,-0.22409602527457373,0.29368567162620207
81,90,-0.24479816798655796,0.42505855904970513
82,50,-0.16506985632581408,0.18675077470106077
82,75,-0.2232140980811505,0.28975157720671185
82,90,-0.2441564871890175,0.4191367296118123
83,50,-0.1666148681775131,0.18408631069745507
83,75,-0.2223321708877273,0.28581748278722163
83,90,-0.24351480639147705,0.41321490017391954
84,50,-0.1681598800292121,0.18142184669384936
84,75,-0.2214502436943041,0.2818833883677314
84,90,-0.2428731255939366,0.4072930707360267
85,50,-0.1697048918809111,0.17875738269024366
85,75,-0.22056831650088088,0.2779492939482412
85,90,-0.24223144479639613,0.40137124129813395
86,50,-0.17124990373261012,0.17609291868663796
86,75,-0.21968638930745768,0.274015199528751
86,90,-0.24158976399885568,0.3954494118602412
87,50,-0.17279491558430912,0.17342845468303225
87,75,-0.21880446211403448,0.2700811051092608
87,90,-0.24094808320131522,0.38952758242234836
88,50,-0.17433992743600812,0.17076399067942655
88,75,-0.21792253492061128,0.2661470106897706
88,90,-0.24030640240377477,0.3836057529844556
89,50,-0.17588493928770713,0.16809952667582084
89,75,-0.21704060772718806,0.26221291627028037
89,90,-0.2396647216062343,0.37768392354656277
90,50,-0.17742995113940613,0.16543506267221514
90,75,-0.21615868053376486,0.25827882185079015
90,90,-0.23902304080869385,0.37176209410867
91,50,-0.1756359725674959,0.16322824234369443
91,75,-0.21445461038928182,0.25759809396691735
91,90,-0.2381397638948931,0.3695338021276133
92,50,-0.1738419939955857,0.1610214220151737
92,75,-0.21275054024479875,0.25691736608304455
92,90,-0.23725648698109236,0.36730551014655655
93,50,-0.17204801542367548,0.15881460168665298
93,75,-0.21104647010031571,0.2562366381991718
93,90,-0.23637321006729162,0.3650772181654998
94,50,-0.1702540368517653,0.15660778135813228
94,75,-0.20934239995583265,0.255555910315299
94,90,-0.23548993315349087,0.3628489261844431
95,50,-0.16846005827985508,0.15440096102961154
95,75,-0.2076383298113496,0.2548751824314262
95,90,-0.23460665623969013,0.36062063420338636
96,50,-0.16666607970794486,0.15219414070109083
96,75,-0.20593425966686654,0.2541944545475534
96,90,-0.23372337932588938,0.35839234222232963
97,50,-0.16487210113603465,0.14998732037257012
97,75,-0.2042301895223835,0.2535137266636806
97,90,-0.23284010241208863,0.3561640502412729
98,50,-0.16307812256412443,0.14778050004404938
98,75,-0.20252611937790044,0.25283299877980786
98,90,-0.2319568254982879,0.35393575826021617
99,50,-0.16128414399221422,0.14557367971552868
99,75,-0.2008220492334174,0.25215227089593506
99,90,-0.23107354858448714,0.35170746627915944
100,50,-0.15949016542030403,0.14336685938700797
100,75,-0.19911797908893436,0.25147154301206226
100,90,-0.2301902716706864,0.3494791742981027
101,50,-0.15769618684839382,0.14116003905848723
101,75,-0.1974139089444513,0.25079081512818946
101,90,-0.22930699475688568,0.347250882317046
102,50,-0.1559022082764836,0.13895321872996652
102,75,-0.19570983879996823,0.25011008724431666
102,90,-0.22842371784308493,0.34502259033598925
103,50,-0.15410822970457339,0.1367463984014458
103,75,-0.1940057686554852,0.2494293593604439
103,90,-0.2275404409292842,0.3427942983549325
104,50,-0.15231425113266317,0.13453957807292508
104,75,-0.19230169851100215,0.2487486314765711
104,90,-0.22665716401548344,0.3405660063738758
105,50,-0.15052027256075295,0.13233275774440437
105,75,-0.19059762836651908,0.2480679035926983
105,90,-0.2257738871016827,0.33833771439281907
106,50,-0.14872629398884274,0.13012593741588366
106,75,-0.18889355822203605,0.2473871757088255
106,90,-0.22489061018788195,0.33610942241176234
107,50,-0.14693231541693252,0.12791911708736292
107,75,-0.18718948807755298,0.24670644782495274
107,90,-0.2240073332740812,0.3338811304307056
108,50,-0.14513833684502234,0.1257122967588422
108,75,-0.18548541793306994,0.24602571994107994
108,90,-0.22312405636028046,0.3316528384496489
109,50,-0.14334435827311212,0.1235054764303215
109,75,-0.1837813477885869,0.24534499205720717
109,90,-0.2222407794464797,0.32942454646859215
110,50,-0.1415503797012019,0.12129865610180078
110,75,-0.18207727764410384,0.24466426417333437
110,90,-0.22135750253267897,0.3271962544875354
111,50,-0.14012845784278155,0.11741214311796386
111,75,-0.18275685447132228,0.24061141103770134
111,90,-0.22037182096025032,0.3284739230028031
112,50,-0.13870653598436122,0.11352563013412693
112,75,-0.18343643129854076,0.2365585579020683
112,90,-0.2193861393878217,0.32975159151807076
113,50,-0.13728461412594087,0.10963911715029001
113,75,-0.1841160081257592,0.23250570476643526
113,90,-0.21840045781539305,0.3310292600333384
114,50,-0.1358626922675205,0.10575260416645309
114,75,-0.18479558495297765,0.22845285163080223
114,90,-0.21741477624296443,0.33230692854860605
115,50,-0.13444077040910019,0.10186609118261616
115,75,-0.1854751617801961,0.2243999984951692
115,90,-0.21642909467053578,0.3335845970638737
116,50,-0.13301884855067983,0.09797957819877925
116,75,-0.18615473860741455,0.22034714535953615
116,90,-0.21544341309810713,0.33486226557914134
117,50,-0.13159692669225947,0.09409306521494233
117,75,-0.18683431543463302,0.21629429222390312
117,90,-0.2144577315256785,0.336139934094409
118,50,-0.13017500483383915,0.09020655223110541
118,75,-0.18751389226185147,0.2122414390882701
118,90,-0.21347204995324986,0.3374176026096767
119,50,-0.1287530829754188,0.08632003924726848
119,75,-0.18819346908906992,0.20818858595263706
119,90,-0.21248636838082124,0.33869527112494435
120,50,-0.12733116111699844,0.08243352626343156
120,75,-0.1888730459162884,0.20413573281700403
120,90,-0.2115006868083926,0.339972939640212
121,50,-0.1259092392585781,0.07854701327959464
121,75,-0.18955262274350684,0.20008287968137098
121,90,-0.21051500523596395,0.34125060815547964
122,50,-0.12448731740015775,0.07466050029575771
122,75,-0.1902321995707253,0.19603002654573795
122,90,-0.20952932366353533,0.3425282766707473
123,50,-0.12306539554173741,0.07077398731192079
123,75,-0.19091177639794374,0.19197717341010492
123,90,-0.20854364209110668,0.343805945186015
124,50,-0.12164347368331707,0.06688747432808387
124,75,-0.1915913532251622,0.18792432027447187
124,90,-0.20755796051867806,0.3450836137012826
125,50,-0.12022155182489672,0.06300096134424696
125,75,-0.19227093005238066,0.18387146713883884
125,90,-0.2065722789462494,0.34636128221655027
126,50,-0.11879962996647637,0.05911444836041003
126,75,-0.1929505068795991,0.1798186140032058
126,90,-0.20558659737382076,0.34763895073181794
127,50,-0.11737770810805603,0.05522793537657311
127,75,-0.19363008370681756,0.17576576086757278
127,90,-0.20460091580139214,0.3489166192470856
128,50,-0.11595578624963569,0.05134142239273619
128,75,-0.19430966053403603,0.17171290773193976
128,90,-0.2036152342289635,0.3501942877623533
129,50,-0.11453386439121534,0.047454909408899265
129,75,-0.19498923736125448,0.1676600545963067
129,90,-0.20262955265653487,0.3514719562776209
130,50,-0.113111942532795,0.04356839642506234
130,75,-0.19566881418847293,0.16360720146067367
130,90,-0.20164387108410622,0.35274962479288857
131,50,-0.1154926972767889,0.042806787967451354
131,75,-0.20277499276651959,0.1626222552119858
131,90,-0.21374499942274425,0.3564581462378164
132,50,-0.11787345202078282,0.04204517950984037
132,75,-0.20988117134456624,0.16163730896329792
132,90,-0.2258461277613823,0.36016666768274425
133,50,-0.12025420676477673,0.041283571052229386
133,75,-0.2169873499226129,0.16065236271461003
133,90,-0.23794725610002032,0.3638751891276721
134,50,-0.12263496150877064,0.0405219625946184
134,75,-0.22409352850065956,0.15966741646592217
134,90,-0.25004838443865834,0.3675837105726
135,50,-0.12501571625276456,0.03976035413700741
135,75,-0.23119970707870624,0.1586824702172343
135,90,-0.26214951277729637,0.3712922320175278
136,50,-0.12739647099675847,0.03899874567939643
136,75,-0.23830588565675287,0.15769752396854642
136,90,-0.27425064111593445,0.37500075346245565
137,50,-0.12977722574075237,0.03823713722178544
137,75,-0.24541206423479955,0.15671257771985853
137,90,-0.28635176945457247,0.3787092749073835
138,50,-0.13215798048474628,0.037475528764174454
138,75,-0.2525182428128462,0.15572763147117066
138,90,-0.2984528977932105,0.3824177963523113
139,50,-0.13453873522874019,0.036713920306563466
139,75,-0.25962442139089287,0.1547426852224828
139,90,-0.3105540261318485,0.38612631779723916
140,50,-0.13691948997273412,0.035952311848952485
140,75,-0.26673059996893955,0.1537577389737949
140,90,-0.32265515447048654,0.389834839242167
141,50,-0.13930024471672803,0.0351907033913415
141,75,-0.2738367785469862,0.15277279272510702
141,90,-0.3347562828091246,0.3935433606870949
142,50,-0.14168099946072193,0.03442909493373052
142,75,-0.2809429571250328,0.15178784647641916
142,90,-0.3468574111477626,0.3972518821320227
143,50,-0.14406175420471584,0.03366748647611953
143,75,-0.2880491357030795,0.1508029002277313
143,90,-0.35895853948640066,0.40096040357695056
144,50,-0.14644250894870975,0.03290587801850854
144,75,-0.2951553142811262,0.1498179539790434
144,90,-0.3710596678250387,0.4046689250218784
145,50,-0.14882326369270366,0.032144269560897554
145,75,-0.3022614928591728,0.14883300773035552
145,90,-0.3831607961636767,0.40837744646680624
146,50,-0.15120401843669756,0.031382661103286566
146,75,-0.3093676714372195,0.14784806148166765
146,90,-0.3952619245023148,0.4120859679117341
147,50,-0.1535847731806915,0.030621052645675585
147,75,-0.3164738500152661,0.1468631152329798
147,90,-0.40736305284095276,0.41579448935666197
148,50,-0.1559655279246854,0.029859444188064597
148,75,-0.3235800285933128,0.1458781689842919
148,90,-0.41946418117959083,0.4195030108015898
149,50,-0.1583462826686793,0.02909783573045361
149,75,-0.33068620717135944,0.144893222735604
149,90,-0.43156530951822886,0.42321153224651764
150,50,-0.16072703741267322,0.028336227272842626
150,75,-0.3377923857494061,0.14390827648691615
150,90,-0.4436664378568669,0.4269200536914455
151,50,-0.15699981490228468,0.03194946525981255
151,75,-0.32787602278589945,0.14706284642365056
151,90,-0.4297942314093379,0.42843504691696166
152,50,-0.15327259239189614,0.03556270324678247
152,75,-0.31795965982239277,0.15021741636038494
152,90,-0.4159220249618089,0.4299500401424779
153,50,-0.14954536988150763,0.0391759412337524
153,75,-0.3080432968588861,0.15337198629711934
153,90,-0.4020498185142799,0.4314650333679941
154,50,-0.1458181473711191,0.042789179220722326
154,75,-0.29812693389537936,0.15652655623385373
154,90,-0.38817761206675094,0.43298002659351026
155,50,-0.14209092486073055,0.04640241720769225
155,75,-0.2882105709318727,0.15968112617058813
155,90,-0.374305405619222,0.4344950198190265
156,50,-0.138363702350342,0.05001565519466217
156,75,-0.278294207968366,0.16283569610732251
156,90,-0.360433199171693,0.4360100130445427
157,50,-0.13463647983995347,0.053628893181632095
157,75,-0.26837784500485934,0.16599026604405692
157,90,-0.34656099272416396,0.43752500627005886
158,50,-0.13090925732956496,0.05724213116860202
158,75,-0.25846148204135266,0.1691448359807913
158,90,-0.332688786276635,0.43903999949557504
159,50,-0.12718203481917642,0.06085536915557195
159,75,-0.24854511907784596,0.1722994059175257
159,90,-0.31881657982910605,0.4405549927210913
160,50,-0.12345481230878788,0.06446860714254186
160,75,-0.23862875611433929,0.1754539758542601
160,90,-0.30494437338157704,0.44206998594660746
161,50,-0.11972758979839934,0.06808184512951179
161,75,-0.22871239315083258,0.1786085457909945
161,90,-0.291072166934048,0.44358497917212364
162,50,-0.11600036728801082,0.07169508311648172
162,75,-0.2187960301873259,0.1817631157277289
162,90,-0.27719996048651907,0.4450999723976399
163,50,-0.11227314477762229,0.07530832110345165
163,75,-0.20887966722381923,0.1849176856644633
163,90,-0.2633277540389901,0.44661496562315606
164,50,-0.10854592226723375,0.07892155909042156
164,75,-0.19896330426031256,0.1880722556011977
164,90,-0.2494555475914611,0.44812995884867224
165,50,-0.10481869975684521,0.08253479707739149
165,75,-0.18904694129680585,0.19122682553793208
165,90,-0.23558334114393212,0.4496449520741884
166,50,-0.10109147724645667,0.08614803506436142
166,75,-0.17913057833329918,0.19438139547466649
166,90,-0.22171113469640313,0.45115994529970466
167,50,-0.09736425473606815,0.08976127305133134
167,75,-0.1692142153697925,0.19753596541140087
167,90,-0.20783892824887415,0.45267493852522084
168,50,-0.09363703222567961,0.09337451103830127
168,75,-0.1592978524062858,0.20069053534813527
168,90,-0.19396672180134517,0.454189931750737
169,50,-0.08990980971529108,0.09698774902527119
169,75,-0.14938148944277913,0.20384510528486965
169,90,-0.18009451535381615,0.45570492497625326
170,50,-0.08618258720490254,0.10060098701224111
170,75,-0.13946512647927245,0.20699967522160406
170,90,-0.1662223089062872,0.45721991820176944
171,50,-0.08911509704072698,0.09827352535313082
171,75,-0.14610720025151308,0.20283974345552241
171,90,-0.17647316300560362,0.44370779192864895
172,50,-0.09204760687655142,0.09594606369402052
172,75,-0.1527492740237537,0.19867981168944077
172,90,-0.1867240171049201,0.4301956656555285
173,50,-0.09498011671237586,0.09361860203491022
173,75,-0.15939134779599434,0.19451987992335912
173,90,-0.19697487120423654,0.41668353938240804
174,50,-0.09791262654820031,0.09129114037579993
174,75,-0.16603342156823497,0.19035994815727747
174,90,-0.20722572530355302,0.40317141310928756
175,50,-0.10084513638402474,0.08896367871668963
175,75,-0.1726754953404756,0.18620001639119582
175,90,-0.21747657940286946,0.38965928683616713
176,50,-0.10377764621984918,0.08663621705757933
176,75,-0.17931756911271624,0.18204008462511417
176,90,-0.22772743350218594,0.37614716056304665
177,50,-0.10671015605567362,0.08430875539846905
177,75,-0.18595964288495687,0.17788015285903253
177,90,-0.2379782876015024,0.36263503428992616
178,50,-0.10964266589149807,0.08198129373935875
